index,"[D210000] 재무상태표, 유동/비유동법 - 연결 | Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] 재무상태표, 유동/비유동법 - 연결 | Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] 재무상태표, 유동/비유동법 - 연결 | Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] 재무상태표, 유동/비유동법 - 연결 | Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] 재무상태표, 유동/비유동법 - 연결 | Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] 재무상태표, 유동/비유동법 - 연결 | Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] 재무상태표, 유동/비유동법 - 연결 | Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] 재무상태표, 유동/비유동법 - 연결 | Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)",20241231,20231231,20221231,20211231
,concept_id,label_ko,label_en,class0,class1,class2,class3,class4,"('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)"
0,ifrs-full_CurrentAssets,유동자산,Current assets,ifrs-full:StatementOfFinancialPositionAbstract,자산 [개요],유동자산,,,227062266000000.0,195936557000000.0,218470581000000.0,218163185000000.0
1,ifrs-full_CashAndCashEquivalents,현금및현금성자산,Cash and cash equivalents,ifrs-full:StatementOfFinancialPositionAbstract,자산 [개요],유동자산,현금및현금성자산,,53705579000000.0,69080893000000.0,49680710000000.0,39031415000000.0
2,ifrs-full_ShorttermDepositsNotClassifiedAsCashEquivalents,단기금융상품,Short-term financial instruments,ifrs-full:StatementOfFinancialPositionAbstract,자산 [개요],유동자산,단기금융상품,,58909334000000.0,22690924000000.0,65102886000000.0,81708986000000.0
3,ifrs-full_CurrentFinancialAssetsAtAmortisedCost,단기상각후원가금융자산,Short-term financial assets at fair value through profit or loss,ifrs-full:StatementOfFinancialPositionAbstract,자산 [개요],유동자산,단기상각후원가금융자산,,0.0,608281000000.0,414610000000.0,3369034000000.0
4,ifrs-full_CurrentFinancialAssetsAtFairValueThroughProfitOrLoss,단기당기손익-공정가치금융자산,Short-term financial assets at fair value through profit or loss,ifrs-full:StatementOfFinancialPositionAbstract,자산 [개요],유동자산,단기당기손익-공정가치금융자산,,36877000000.0,27112000000.0,29080000000.0,40757000000.0
5,ifrs-full_CurrentTradeReceivables,매출채권,Trade receivables,ifrs-full:StatementOfFinancialPositionAbstract,자산 [개요],유동자산,매출채권,,43623073000000.0,36647393000000.0,35721563000000.0,40713415000000.0
6,dart_ShortTermOtherReceivablesNet,미수금,Non-trade receivables,ifrs-full:StatementOfFinancialPositionAbstract,자산 [개요],유동자산,미수금,,9622974000000.0,6633248000000.0,6149209000000.0,4497257000000.0
7,ifrs-full_CurrentPrepaidExpenses,선급비용,Prepaid expenses,ifrs-full:StatementOfFinancialPositionAbstract,자산 [개요],유동자산,선급비용,,3362824000000.0,3366130000000.0,2867823000000.0,2336252000000.0
8,ifrs-full_Inventories,재고자산,Inventories,ifrs-full:StatementOfFinancialPositionAbstract,자산 [개요],유동자산,재고자산,,51754865000000.0,51625874000000.0,52187866000000.0,41384404000000.0
9,ifrs-full_OtherCurrentAssets,기타유동자산,Other current assets,ifrs-full:StatementOfFinancialPositionAbstract,자산 [개요],유동자산,기타유동자산,,6046740000000.0,5038838000000.0,6316834000000.0,5081665000000.0
10,ifrs-full_NoncurrentAssetsOrDisposalGroupsClassifiedAsHeldForSaleOrAsHeldForDistributionToOwners,매각예정분류자산,Assets held for sale,ifrs-full:StatementOfFinancialPositionAbstract,자산 [개요],유동자산,매각예정분류자산,,0.0,217864000000.0,0.0,0.0
11,ifrs-full_NoncurrentAssets,비유동자산,Non-current assets,ifrs-full:StatementOfFinancialPositionAbstract,자산 [개요],비유동자산,,,287469682000000.0,259969423000000.0,229953926000000.0,208457973000000.0
12,ifrs-full_NoncurrentFinancialAssetsMeasuredAtFairValueThroughOtherComprehensiveIncome,기타포괄손익-공정가치금융자산,Financial assets at fair value through other comprehensive income,ifrs-full:StatementOfFinancialPositionAbstract,자산 [개요],비유동자산,기타포괄손익-공정가치금융자산,,10580932000000.0,7481297000000.0,11397012000000.0,13965839000000.0
13,ifrs-full_NoncurrentFinancialAssetsAtFairValueThroughProfitOrLoss,당기손익-공정가치금융자산,Financial assets at fair value through profit or loss,ifrs-full:StatementOfFinancialPositionAbstract,자산 [개요],비유동자산,당기손익-공정가치금융자산,,1175749000000.0,1431394000000.0,1405468000000.0,1525344000000.0
14,ifrs-full_InvestmentAccountedForUsingEquityMethod,관계기업 및 공동기업 투자,Investments in associates and joint ventures,ifrs-full:StatementOfFinancialPositionAbstract,자산 [개요],비유동자산,관계기업 및 공동기업 투자,,12592117000000.0,11767444000000.0,10893869000000.0,8932251000000.0
15,ifrs-full_PropertyPlantAndEquipment,유형자산,"Property, plant and equipment",ifrs-full:StatementOfFinancialPositionAbstract,자산 [개요],비유동자산,유형자산,,205945209000000.0,187256262000000.0,168045388000000.0,149928539000000.0
16,ifrs-full_IntangibleAssetsAndGoodwill,무형자산,Intangible assets,ifrs-full:StatementOfFinancialPositionAbstract,자산 [개요],비유동자산,무형자산,,23738566000000.0,22741862000000.0,20217754000000.0,20236244000000.0
17,ifrs-full_NoncurrentRecognisedAssetsDefinedBenefitPlan,순확정급여자산,Net defined benefit assets,ifrs-full:StatementOfFinancialPositionAbstract,자산 [개요],비유동자산,순확정급여자산,,3089571000000.0,4905219000000.0,5851972000000.0,2809590000000.0
18,ifrs-full_DeferredTaxAssets,이연법인세자산,Deferred income tax assets,ifrs-full:StatementOfFinancialPositionAbstract,자산 [개요],비유동자산,이연법인세자산,,14236468000000.0,10211797000000.0,5101318000000.0,4261214000000.0
19,ifrs-full_OtherNoncurrentAssets,기타비유동자산,Other non-current assets,ifrs-full:StatementOfFinancialPositionAbstract,자산 [개요],비유동자산,기타비유동자산,,16111070000000.0,14174148000000.0,7041145000000.0,6798952000000.0
20,ifrs-full_Assets,자산총계,Total assets,ifrs-full:StatementOfFinancialPositionAbstract,자산 [개요],자산총계,,,514531948000000.0,455905980000000.0,448424507000000.0,426621158000000.0
21,ifrs-full_CurrentLiabilities,유동부채,Current liabilities,ifrs-full:StatementOfFinancialPositionAbstract,부채 [개요],유동부채,,,93326299000000.0,75719452000000.0,78344852000000.0,88117133000000.0
22,ifrs-full_TradeAndOtherCurrentPayablesToTradeSuppliers,매입채무,Trade payables,ifrs-full:StatementOfFinancialPositionAbstract,부채 [개요],유동부채,매입채무,,12370177000000.0,11319824000000.0,10644686000000.0,13453351000000.0
23,entity00126380_CurrentLoansReceivedOfCurrentLiabilities,단기차입금,Current loans received,ifrs-full:StatementOfFinancialPositionAbstract,부채 [개요],유동부채,단기차입금,,13172504000000.0,7114601000000.0,5147315000000.0,13687793000000.0
24,ifrs-full_OtherCurrentPayables,미지급금,Other payables,ifrs-full:StatementOfFinancialPositionAbstract,부채 [개요],유동부채,미지급금,,18547365000000.0,15324119000000.0,17592366000000.0,15584866000000.0
25,ifrs-full_CurrentAdvances,선수금,Advances received,ifrs-full:StatementOfFinancialPositionAbstract,부채 [개요],유동부채,선수금,,1841420000000.0,1492602000000.0,1314934000000.0,1224812000000.0
26,dart_ShortTermWithholdings,예수금,Withholdings,ifrs-full:StatementOfFinancialPositionAbstract,부채 [개요],유동부채,예수금,,991812000000.0,892441000000.0,1298244000000.0,1294052000000.0
27,ifrs-full_AccrualsClassifiedAsCurrent,미지급비용,Accrued expenses,ifrs-full:StatementOfFinancialPositionAbstract,부채 [개요],유동부채,미지급비용,,29613258000000.0,26013273000000.0,29211487000000.0,27928031000000.0
28,ifrs-full_CurrentTaxLiabilities,당기법인세부채,Current income tax liabilities,ifrs-full:StatementOfFinancialPositionAbstract,부채 [개요],유동부채,당기법인세부채,,4340171000000.0,3358715000000.0,4250397000000.0,6749149000000.0
29,ifrs-full_CurrentPortionOfLongtermBorrowings,유동성장기부채,Current portion of long-term liabilities,ifrs-full:StatementOfFinancialPositionAbstract,부채 [개요],유동부채,유동성장기부채,,2207290000000.0,1308875000000.0,1089162000000.0,1329968000000.0
30,ifrs-full_CurrentProvisions,충당부채,Provisions,ifrs-full:StatementOfFinancialPositionAbstract,부채 [개요],유동부채,충당부채,,8216469000000.0,6524876000000.0,5844907000000.0,5372872000000.0
31,ifrs-full_OtherCurrentLiabilities,기타유동부채,Other current liabilities,ifrs-full:StatementOfFinancialPositionAbstract,부채 [개요],유동부채,기타유동부채,,2025833000000.0,2308472000000.0,1951354000000.0,1492239000000.0
32,ifrs-full_LiabilitiesIncludedInDisposalGroupsClassifiedAsHeldForSale,매각예정분류부채,Liabilities held-for-sale,ifrs-full:StatementOfFinancialPositionAbstract,부채 [개요],유동부채,매각예정분류부채,,0.0,61654000000.0,0.0,0.0
33,ifrs-full_NoncurrentLiabilities,비유동부채,Non-current liabilities,ifrs-full:StatementOfFinancialPositionAbstract,부채 [개요],비유동부채,,,19013579000000.0,16508663000000.0,15330051000000.0,33604094000000.0
34,ifrs-full_NoncurrentPortionOfNoncurrentBondsIssued,사채,Debentures,ifrs-full:StatementOfFinancialPositionAbstract,부채 [개요],비유동부채,사채,,14530000000.0,537618000000.0,536093000000.0,508232000000.0
35,ifrs-full_NoncurrentPortionOfNoncurrentLoansReceived,장기차입금,Long-term borrowings,ifrs-full:StatementOfFinancialPositionAbstract,부채 [개요],비유동부채,장기차입금,,3935860000000.0,3724850000000.0,3560672000000.0,2866156000000.0
36,ifrs-full_OtherNoncurrentPayables,장기미지급금,Long-term other payables,ifrs-full:StatementOfFinancialPositionAbstract,부채 [개요],비유동부채,장기미지급금,,5510455000000.0,5488283000000.0,2753305000000.0,2991440000000.0
37,ifrs-full_NoncurrentRecognisedLiabilitiesDefinedBenefitPlan,순확정급여부채,Net defined benefit liabilities,ifrs-full:StatementOfFinancialPositionAbstract,부채 [개요],비유동부채,순확정급여부채,,521410000000.0,456557000000.0,268370000000.0,465884000000.0
38,ifrs-full_DeferredTaxLiabilities,이연법인세부채,Deferred income tax liabilities,ifrs-full:StatementOfFinancialPositionAbstract,부채 [개요],비유동부채,이연법인세부채,,528231000000.0,620549000000.0,5111332000000.0,23198205000000.0
39,ifrs-full_NoncurrentProvisions,장기충당부채,Long-term provisions,ifrs-full:StatementOfFinancialPositionAbstract,부채 [개요],비유동부채,장기충당부채,,3120044000000.0,2878450000000.0,1928518000000.0,2306994000000.0
40,ifrs-full_OtherNoncurrentLiabilities,기타비유동부채,Other non-current liabilities,ifrs-full:StatementOfFinancialPositionAbstract,부채 [개요],비유동부채,기타비유동부채,,5383049000000.0,2802356000000.0,1171761000000.0,1267183000000.0
41,ifrs-full_Liabilities,부채총계,Total liabilities,ifrs-full:StatementOfFinancialPositionAbstract,부채 [개요],부채총계,,,112339878000000.0,92228115000000.0,93674903000000.0,121721227000000.0
42,ifrs-full_EquityAttributableToOwnersOfParent,지배기업 소유주지분,Equity attributable to owners of parent company,ifrs-full:StatementOfFinancialPositionAbstract,자본 [개요],지배기업 소유주지분,,,391687603000000.0,353233775000000.0,345186142000000.0,296237697000000.0
43,ifrs-full_IssuedCapital,자본금,Issued capital,ifrs-full:StatementOfFinancialPositionAbstract,자본 [개요],지배기업 소유주지분,자본금,,897514000000.0,897514000000.0,897514000000.0,897514000000.0
44,dart_IssuedCapitalOfPreferredStock,우선주자본금,Preference shares,ifrs-full:StatementOfFinancialPositionAbstract,자본 [개요],지배기업 소유주지분,자본금,우선주자본금,119467000000.0,119467000000.0,119467000000.0,119467000000.0
45,dart_IssuedCapitalOfCommonStock,보통주자본금,Ordinary shares,ifrs-full:StatementOfFinancialPositionAbstract,자본 [개요],지배기업 소유주지분,자본금,보통주자본금,778047000000.0,778047000000.0,778047000000.0,778047000000.0
46,ifrs-full_SharePremium,주식발행초과금,Share premium,ifrs-full:StatementOfFinancialPositionAbstract,자본 [개요],지배기업 소유주지분,주식발행초과금,,4403893000000.0,4403893000000.0,4403893000000.0,4403893000000.0
47,ifrs-full_RetainedEarnings,이익잉여금,Retained earnings,ifrs-full:StatementOfFinancialPositionAbstract,자본 [개요],지배기업 소유주지분,이익잉여금,,370513188000000.0,346652238000000.0,337946407000000.0,293064763000000.0
48,dart_ElementsOfOtherStockholdersEquity,기타자본항목,Other components of equity,ifrs-full:StatementOfFinancialPositionAbstract,자본 [개요],지배기업 소유주지분,기타자본항목,,15873008000000.0,1280130000000.0,1938328000000.0,-2128473000000.0
49,ifrs-full_NoncontrollingInterests,비지배지분,Non-controlling interests,ifrs-full:StatementOfFinancialPositionAbstract,자본 [개요],비지배지분,,,10504467000000.0,10444090000000.0,9563462000000.0,8662234000000.0
50,ifrs-full_Equity,자본총계,Total equity,ifrs-full:StatementOfFinancialPositionAbstract,자본 [개요],자본총계,,,402192070000000.0,363677865000000.0,354749604000000.0,304899931000000.0
51,ifrs-full_EquityAndLiabilities,부채와자본총계,Equity and liabilities,ifrs-full:StatementOfFinancialPositionAbstract,부채와자본총계,,,,514531948000000.0,455905980000000.0,448424507000000.0,426621158000000.0
